EEGNET     , relu      ,2.00E-04,0.4,291,0.8407
EEGNET     , leaky_relu,3.00E-04,0.6,298,0.8407
EEGNET     , relu      ,3.00E-04,0.1,159,0.8407
EEGNET     , relu      ,3.00E-04,0.5,285,0.8407
EEGNET     , relu      ,3.00E-04,0.6,277,0.8407
EEGNET     , leaky_relu,4.00E-04,0.6,253,0.8407
EEGNET     , relu      ,1.00E-03,0,45,0.8398
EEGNET     , elu       ,1.00E-03,0,35,0.8398
EEGNET     , leaky_relu,1.00E-04,0.1,291,0.8398
EEGNET     , leaky_relu,1.00E-04,0.2,253,0.8398
EEGNET     , relu      ,2.00E-04,0.1,267,0.8398
EEGNET     , leaky_relu,2.00E-04,0.5,280,0.8398
EEGNET     , relu      ,2.00E-04,0.1,277,0.8398
EEGNET     , leaky_relu,2.00E-04,0.3,288,0.8398
EEGNET     , leaky_relu,3.00E-04,0.1,200,0.8398
EEGNET     , leaky_relu,3.00E-04,0.3,298,0.8398
EEGNET     , leaky_relu,3.00E-04,0.5,244,0.8398
EEGNET     , elu       ,3.00E-04,0.1,299,0.8398
EEGNET     , leaky_relu,4.00E-04,0.6,257,0.8398
EEGNET     , leaky_relu,4.00E-04,0.7,300,0.8398
EEGNET     , leaky_relu,1.00E-04,0.2,252,0.8389
EEGNET     , relu      ,2.00E-04,0.3,292,0.8389
EEGNET     , leaky_relu,2.00E-04,0.5,243,0.8389
EEGNET     , relu      ,2.00E-04,0.5,300,0.8389
EEGNET     , relu      ,3.00E-04,0.5,234,0.8389
EEGNET     , leaky_relu,3.00E-04,0.2,286,0.8389
EEGNET     , relu      ,3.00E-04,0.4,239,0.8389
EEGNET     , relu      ,3.00E-04,0.4,277,0.8389
EEGNET     , leaky_relu,4.00E-04,0.4,268,0.8389
EEGNET     , relu      ,4.00E-04,0.7,270,0.8389
EEGNET     , relu      ,4.00E-04,0.4,238,0.8389
EEGNET     , relu      ,4.00E-04,0.6,269,0.8389
EEGNET     , relu      ,5.00E-04,0.1,235,0.8389
EEGNET     , leaky_relu,1.00E-04,0.2,266,0.838
EEGNET     , relu      ,2.00E-04,0.5,297,0.838
EEGNET     , relu      ,2.00E-04,0.6,289,0.838
EEGNET     , relu      ,2.00E-04,0.2,286,0.838
EEGNET     , leaky_relu,2.00E-04,0.5,293,0.838
EEGNET     , leaky_relu,3.00E-04,0.6,283,0.838
EEGNET     , relu      ,4.00E-04,0.2,288,0.838
EEGNET     , leaky_relu,4.00E-04,0.6,179,0.838
EEGNET     , relu      ,1.00E-04,0.2,285,0.837
EEGNET     , leaky_relu,2.00E-04,0.1,285,0.837
EEGNET     , relu      ,3.00E-04,0.1,230,0.837
EEGNET     , relu      ,3.00E-04,0.1,175,0.837
EEGNET     , relu      ,3.00E-04,0.7,249,0.837
EEGNET     , leaky_relu,3.00E-04,0.5,174,0.837
EEGNET     , leaky_relu,4.00E-04,0.7,269,0.837
EEGNET     , relu      ,1.00E-04,0.3,225,0.8361
EEGNET     , leaky_relu,1.00E-04,0.2,293,0.8361
EEGNET     , relu      ,1.00E-04,0.3,281,0.8361
EEGNET     , leaky_relu,1.00E-04,0.1,286,0.8361
EEGNET     , leaky_relu,2.00E-04,0.2,295,0.8361
EEGNET     , relu      ,2.00E-04,0.4,285,0.8361
EEGNET     , relu      ,4.00E-04,0.3,290,0.8361
EEGNET     , leaky_relu,4.00E-04,0.7,281,0.8361
EEGNET     , elu       ,4.00E-04,0.4,178,0.8361
EEGNET     , leaky_relu,1.00E-04,0.2,286,0.8352
EEGNET     , relu      ,1.00E-04,0.3,265,0.8352
EEGNET     , relu      ,2.00E-04,0.3,259,0.8352
EEGNET     , relu      ,2.00E-04,0.1,250,0.8352
EEGNET     , elu       ,2.00E-04,0.1,267,0.8352
EEGNET     , relu      ,2.00E-04,0.5,274,0.8352
EEGNET     , relu      ,3.00E-04,0.3,297,0.8352
EEGNET     , relu      ,3.00E-04,0.3,281,0.8352
EEGNET     , leaky_relu,3.00E-04,0.6,202,0.8352
EEGNET     , leaky_relu,3.00E-04,0.6,300,0.8352
EEGNET     , elu       ,4.00E-04,0.1,65,0.8352
EEGNET     , relu      ,4.00E-04,0.7,296,0.8352
EEGNET     , elu       ,5.00E-04,0.1,182,0.8352
EEGNET     , relu      ,1.00E-04,0.1,299,0.8343
EEGNET     , leaky_relu,1.00E-04,0.4,293,0.8343
EEGNET     , elu       ,1.00E-04,0.1,289,0.8343
EEGNET     , leaky_relu,1.00E-04,0.4,282,0.8343
EEGNET     , leaky_relu,2.00E-04,0.2,295,0.8343
EEGNET     , elu       ,2.00E-04,0.1,275,0.8343
EEGNET     , elu       ,2.00E-04,0.4,269,0.8343
EEGNET     , relu      ,3.00E-04,0.2,272,0.8343
EEGNET     , leaky_relu,3.00E-04,0.7,288,0.8343
EEGNET     , relu      ,3.00E-04,0.5,298,0.8343
EEGNET     , leaky_relu,3.00E-04,0.5,289,0.8343
EEGNET     , leaky_relu,3.00E-04,0.6,224,0.8343
EEGNET     , relu      ,3.00E-04,0.1,297,0.8343
EEGNET     , leaky_relu,4.00E-04,0.6,270,0.8343
EEGNET     , elu       ,4.00E-04,0.5,194,0.8343
EEGNET     , leaky_relu,1.00E-04,0.1,267,0.8333
EEGNET     , relu      ,1.00E-04,0.4,292,0.8333
EEGNET     , leaky_relu,1.00E-04,0.1,244,0.8333
EEGNET     , leaky_relu,1.00E-04,0.3,264,0.8333
EEGNET     , leaky_relu,2.00E-04,0.3,237,0.8333
